id,name,lat,lon
restaurant_81969,"Popeyes 1302 W Hwy 98 Panama City, Florida 32401 - USA",30.175554,-85.680802
restaurant_82360,"Popeyes 1061 Highway 51 North Madison, Mississippi 39110 - USA",32.463786,-90.110623
restaurant_81930,"Popeyes 1074 E County Line Rd Ridgeland, Mississippi 39157 - USA",32.399798,-90.135275
restaurant_238494,"Popeyes 3474 Winder Highway Flowery Branch, Georgia 30542 - USA",34.21645,-83.86166
restaurant_89342,"Popeyes 823 Nashville Hwy Columbia, Tennessee 38401 - USA",35.629314,-87.027033
restaurant_84152,"Popeyes 126 E May St Winder, Georgia 30680 - USA",33.987076,-83.715982
restaurant_81728,"Popeyes 2249 Denny Ave Pascagoula, Mississippi 39567 - USA",30.371448,-88.540595
restaurant_81698,"Popeyes 5351 I-55 N Jackson, Mississippi 39206 - USA",32.371924,-90.149426
restaurant_81811,"Popeyes 405 Riverwind Dr Pearl, Mississippi 39208 - USA",32.267863,-90.136281
restaurant_240158,"Popeyes GA Highway 53 Braselton, Georgia 30517 - USA",34.121075,-83.76383
restaurant_82162,"Popeyes 1176 Highway 49 S Richland, Mississippi 39218 - USA",32.215577,-90.152362
restaurant_82650,"Popeyes 2021 Eatonton Rd Madison, Georgia 30650 - USA",33.55172,-83.475065
restaurant_81761,"Popeyes 821 Jesse Jewell Pkwy SW Gainesville, Georgia 30501 - USA",34.29112,-83.831
restaurant_86584,"Popeyes 1302 West Jefferson Street Quincy, Florida 32351 - USA",30.588366,-84.592893
